# date	 open	 high	 low	 close	 adjClose	 volume	 5-day moving average close	 20-day moving average close
2020-06-04     8.080     9.060     7.920     8.960     8.777 12828500     7.180     5.608 
2020-06-05     9.290     9.530     8.670     8.990     8.807 16007500     7.858     5.816 
2020-06-08     9.010     9.470     9.010     9.200     9.012 7634500     8.498     6.036 
2020-06-09     8.950     9.750     8.780     9.650     9.453 6920500     9.040     6.281 
2020-06-10     9.790     9.840     8.760     9.120     8.934 9953500     9.184     6.507 
2020-06-12     8.630     9.140     8.420     8.970     8.787 5509500     9.186     6.715 
2020-06-15     8.420     9.070     8.260     8.960     8.777 6470400     9.180     6.925 
2020-06-16     9.280     9.380     8.620     8.730     8.552 6094200     9.086     7.106 
2020-06-17     8.760     8.860     8.620     8.670     8.493 3736700     8.890     7.287 
2020-06-18     8.660     8.790     8.480     8.560     8.385 5259200     8.778     7.461 
2020-06-19     8.750     8.920     8.330     8.920     8.738 9706100     8.768     7.639 
2020-06-22     8.880     9.260     8.680     8.950     8.767 6297100     8.766     7.829 
2020-06-23     9.210     9.770     9.090     9.750     9.551 10597400     8.970     8.048 
2020-06-24     9.720    10.470     9.420    10.050     9.845 14367500     9.246     8.290 
2020-06-25    10.060    10.350     9.360     9.540     9.345 8596200     9.442     8.482 
2020-06-26     9.530     9.800     8.960     8.970     8.787 7430500     9.452     8.646 
2020-06-29     9.060     9.400     8.770     9.200     9.012 5471000     9.502     8.826 
2020-06-30     9.160     9.500     8.800     8.800     8.620 6369100     9.312     8.966 
2020-07-01     8.920     9.170     8.790     9.170     8.983 4394500     9.136     9.078 
2020-07-02     9.250     9.380     9.050     9.060     8.875 4267100     9.040     9.111 
2020-07-03     9.080     9.500     9.010     9.420     9.228 2354000     9.130     9.134 
2020-07-06     9.570     9.700     9.340     9.360     9.169 3792500     9.162     9.152 
2020-07-07     9.330     9.560     9.130     9.200     9.012 3368500     9.242     9.152 
2020-07-08     9.250     9.420     9.190     9.410     9.218 2806100     9.290     9.140 
2020-07-09     9.460     9.530     9.210     9.300     9.110 2076500     9.338     9.149 
2020-07-10     9.310     9.480     9.190     9.350     9.159 3593600     9.324     9.168 
2020-07-13     9.620    10.370     9.620     9.980     9.776 17047900     9.448     9.219 
2020-07-14    10.050    10.100     9.640     9.780     9.580 5885200     9.564     9.272 
2020-07-15     9.980    10.300     9.920    10.040     9.835 4568400     9.690     9.340 
2020-07-16    10.000    10.240     9.890    10.080     9.874 2632200     9.846     9.416 
2020-07-17    10.100    10.240     9.950     9.970     9.767 2751300     9.970     9.469 
2020-07-20     9.970    10.100     9.850     9.920     9.718 2442200     9.958     9.517 
2020-07-21    10.010    10.120     9.800     9.960     9.757 3747200     9.994     9.528 
2020-07-22    10.050    10.160     9.880     9.980     9.776 2584100     9.982     9.524 
2020-07-23    10.040    10.310     9.520     9.800     9.600 5211300     9.926     9.537 
2020-07-24     9.890     9.890     9.330     9.470     9.277 4216500     9.826     9.562 
2020-07-27     9.530     9.740     9.380     9.420     9.228 3457300     9.726     9.573 
2020-07-28     9.430     9.580     9.300     9.580     9.385 1794200     9.650     9.612 
2020-07-29     9.620    10.090     9.560    10.050     9.845 4172600     9.664     9.656 
2020-07-30     9.900    10.120     9.820    10.120     9.914 2197400     9.728     9.709 
2020-07-31    10.120    10.120     9.820     9.870     9.669 3224700     9.808     9.732 
2020-08-03     9.950    10.270     9.660    10.100     9.894 3669900     9.944     9.769 
2020-08-04    10.010    10.130     9.730     9.850     9.649 3278100     9.998     9.801 
2020-08-05     9.950    10.040     9.740     9.780     9.580 4307400     9.944     9.820 
2020-08-06     9.860     9.870     9.510     9.780     9.580 3456800     9.876     9.844 
2020-08-07     9.790     9.940     9.710     9.740     9.541 2235100     9.850     9.863 
2020-08-10     9.790     9.840     9.690     9.720     9.522 1438500     9.774     9.851 
2020-08-11     9.810    10.080     9.620     9.640     9.443 2487000     9.732     9.844 
2020-08-12     9.680     9.770     8.900     9.140     8.954 4602000     9.604     9.799 
2020-08-13     9.220     9.240     8.890     8.980     8.797 2298900     9.444     9.744 
2020-08-14     8.980     9.050     8.810     8.980     8.797 1492100     9.292     9.694 
2020-08-17     9.000     9.120     8.460     8.540     8.366 2392100     9.056     9.625 
2020-08-18     8.760     9.080     8.680     8.970     8.787 1607900     8.922     9.575 
2020-08-19     9.050     9.060     8.790     8.870     8.689 1261600     8.868     9.520 
2020-08-20     8.700     8.830     8.610     8.740     8.562 1913700     8.820     9.467 
2020-08-21     8.780     8.960     8.670     8.750     8.571 1462500     8.774     9.431 
2020-08-24     8.900     9.280     8.790     8.900     8.718 3324400     8.846     9.405 
2020-08-25     8.940     9.090     8.710     8.760     8.581 2322500     8.804     9.364 
2020-08-26     8.750     8.840     8.380     8.450     8.278 6485000     8.720     9.284 
2020-08-27     8.470     8.630     8.360     8.530     8.356 4899400     8.678     9.204 
2020-08-28     8.600     8.750     8.530     8.670     8.493 8085800     8.662     9.144 
2020-08-31     8.570     8.680     8.270     8.470     8.297 7412100     8.576     9.063 
2020-09-01     8.470     8.750     8.470     8.730     8.552 5149900     8.570     9.007 
2020-09-02     8.710     8.900     8.590     8.800     8.620 3196900     8.640     8.958 
2020-09-03     8.820     9.200     8.740     9.050     8.865 9157600     8.744     8.921 
2020-09-04     9.100     9.420     8.980     9.250     9.061 7490000     8.860     8.897 
2020-09-08     9.170     9.340     8.990     9.150     8.963 3527600     8.996     8.868 
2020-09-09     9.180     9.300     8.960     9.110     8.924 4810000     9.072     8.842 
2020-09-10     9.140     9.200     8.790     8.840     8.660 3629600     9.080     8.827 
2020-09-11     8.900     8.900     8.480     8.530     8.356 4678700     8.976     8.805 
2020-09-14     8.600     8.820     8.480     8.730     8.552 2525600     8.872     8.792 
2020-09-15     8.800     8.840     8.560     8.640     8.464 1707800     8.770     8.797 
2020-09-16     8.660     8.720     8.470     8.530     8.356 3147300     8.654     8.775 
2020-09-17     8.490     8.770     8.380     8.710     8.532 3414900     8.628     8.767 
2020-09-18     8.670     8.750     8.330     8.470     8.297 3572800     8.616     8.753 
2020-09-21     8.180     8.410     8.030     8.230     8.062 5486700     8.516     8.727 
2020-09-22     8.280     8.360     8.070     8.300     8.131 2045600     8.448     8.697 
2020-09-23     8.320     8.320     7.960     8.010     7.847 2466600     8.344     8.660 
2020-09-24     8.010     8.320     7.840     8.210     8.042 3110800     8.244     8.648 
2020-09-25     8.190     8.290     8.060     8.150     7.984 1140400     8.180     8.629 
2020-09-28     8.300     8.550     8.040     8.120     7.954 3104300     8.158     8.602 
2020-09-29     8.160     8.190     7.850     7.930     7.768 2117500     8.084     8.575 
2020-09-30     7.950     8.210     7.890     8.120     7.954 2419200     8.106     8.544 
2020-10-01     8.170     8.340     8.070     8.330     8.160 1706500     8.130     8.521 
2020-10-02     8.260     8.510     8.240     8.390     8.219 1941100     8.178     8.488 
2020-10-05     8.400     8.490     8.240     8.450     8.278 1391300     8.244     8.448 
2020-10-06     8.500     8.640     8.420     8.480     8.307 2237200     8.354     8.414 
2020-10-07     8.530     8.530     8.140     8.220     8.052 2318100     8.374     8.370 
2020-10-08     8.280     8.790     8.160     8.690     8.513 3010500     8.446     8.362 
2020-10-09     8.700     8.980     8.650     8.730     8.552 2509900     8.514     8.372 
2020-10-13     8.750     8.860     8.610     8.650     8.474 1361100     8.554     8.368 
2020-10-14     8.670     8.690     8.450     8.570     8.395 1665500     8.572     8.365 
2020-10-15     8.460     8.640     8.360     8.460     8.287 1991500     8.620     8.361 
2020-10-16     8.470     8.530     8.240     8.300     8.131 1453400     8.542     8.341 
2020-10-19     8.340     8.480     8.170     8.310     8.140 2612200     8.458     8.333 
2020-10-20     8.360     8.850     8.300     8.840     8.660 3892600     8.496     8.363 
2020-10-21     8.780     8.880     8.690     8.760     8.581 2512700     8.534     8.386 
2020-10-22     8.780     9.050     8.730     8.820     8.640 3540800     8.606     8.427 
2020-10-23     8.860     9.010     8.610     8.720     8.542 3278600     8.690     8.452 
2020-10-26     8.680     8.750     8.440     8.520     8.346 1549900     8.732     8.471 
2020-10-27     8.570     8.650     8.270     8.400     8.229 1845000     8.644     8.485 
2020-10-28     8.190     8.190     7.690     7.820     7.660 3809400     8.456     8.479 
2020-10-29     7.800     7.870     7.430     7.830     7.670 3128000     8.258     8.465 
2020-10-30     7.800     7.820     7.330     7.460     7.308 3039600     8.006     8.421 
2020-11-03     7.580     7.700     7.240     7.400     7.249 3030000     7.782     8.372 
2020-11-04     7.500     7.860     7.330     7.830     7.670 2944600     7.668     8.341 
2020-11-05     7.980     8.110     7.730     8.040     7.876 4828000     7.712     8.319 
2020-11-06     7.980     8.390     7.900     8.380     8.209 2291500     7.822     8.327 
2020-11-09     8.610     8.720     8.320     8.500     8.327 3479500     8.030     8.317 
2020-11-10     8.500     8.620     8.300     8.400     8.229 3426800     8.230     8.301 
2020-11-11     8.400     8.830     8.380     8.580     8.405 3731600     8.380     8.297 
2020-11-12     8.580     8.750     8.520     8.640     8.464 2967800     8.500     8.301 
2020-11-13     8.640     9.030     8.620     8.870     8.689 5531200     8.598     8.321 
2020-11-16     9.020     9.220     8.880     9.200     9.012 3371600     8.738     8.366 
2020-11-17     9.150     9.370     9.090     9.240     9.051 2722500     8.906     8.413 
2020-11-18     9.240     9.430     9.090     9.310     9.120 1677000     9.052     8.436 
2020-11-19     9.270     9.420     9.180     9.330     9.140 1853100     9.190     8.465 
2020-11-23     9.360     9.440     9.120     9.320     9.130 1104000     9.280     8.490 
2020-11-24     9.350     9.950     9.270     9.880     9.678 3262500     9.416     8.548 
2020-11-25     9.830     9.960     9.710     9.880     9.678 2164600     9.544     8.616 
